model_number,original_model_number,grasp_set,original_model_tags,model_maker,model_text,model_source,model_description,barcode_text,acquisition_method,concave_filled,rotationally_symetric,inner_concavity,recognition_id
18745,9388,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,TEST_SET,TRAINING_AND_TEST_SET,"bottle",Garnier,fructis_shampoo_bottle,Household,"bottle, shampoo, plastic, 13fl oz, green",308426012,3dsom,FALSE,FALSE,FALSE,
18746,9389,COMBINED_MODEL_SET,REDUCED_MODEL_SET,SIM_MODEL_SET,TRAINING_AND_TEST_SET,TRAINING_SET,"can",Gillette,mach3_gel,Household,"can, shaving gel, 7oz, black/green",4740014678,3dsom,FALSE,TRUE,FALSE,
18747,9390,,"bowl",Solo,solo_plastic_bowl,Household,"bowl, plastic, red, oval",4116502515,3dsom,TRUE,TRUE,TRUE,
18748,9391,,"cup",solo,solo_plastic_cup,Household,"cup, plastic, red, 18oz, 34 pack",4116508799,3dsom,TRUE,TRUE,TRUE,
18749,9392,,"bowl",Dixie,dixie_paper_bowl,Household,"bowl, paper, 10oz, 38 pack",4200014175,3dsom,TRUE,TRUE,TRUE,
18750,9393,,"bowl",Vanity Fair,VF_papaer_bowl,Household,"bowl, paper, 20oz, pack of 26",4200015689,3dsom,TRUE,TRUE,TRUE,
18751,9394,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,TRAINING_AND_TEST_SET,TRAINING_SET,"bottle",Tilex,tilex_spray,Household,"bottle, spray, plastic, white, 1qt",4460001195,3dsom,FALSE,FALSE,FALSE,
18752,9395,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,TRAINING_AND_TEST_SET,TRAINING_SET,"bottle",Proctor&Gamble,Pantene,Household,"bottle, plastic, shampoo, white, 25.4fl oz",8087800827,3dsom,FALSE,FALSE,FALSE,
18753,9396,,"can",S.C. Johnson,Pledge,Household,"can, aersol spray, furniture polish, brown, 12.5 oz",4650000318,3dsom,FALSE,TRUE,FALSE,
18754,9397,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,"pitcher",PUR,CR-6000,Target,"pitcher, water with filter, clear, plastic, 7 cup",2398700578,3dsom,FALSE,FALSE,FALSE,
18755,9398,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,TEST_SET,TRAINING_AND_TEST_SET,"bottle",RB Inc,Mop&Glo,Household,"bottle, plastic, blue, 1qt",1920005432,3dsom,FALSE,FALSE,FALSE,
18756,9399,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,TRAINING_AND_TEST_SET,TRAINING_SET,"bottle",Church & Dwight Co.,Arm & Hammer,Household,"bottle, plastic, orange, Laundry Detergent, 50fl oz.",3320009990,3dsom,FALSE,FALSE,FALSE,
18757,9400,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,TEST_SET,TRAINING_AND_TEST_SET,"bottle",Proctor & Gamble,Tide,Household,"bottle, plastic, red, laundry detergent, 50fl oz",3700013899,3dsom,FALSE,FALSE,FALSE,
18758,9401,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,TEST_SET,TRAINING_AND_TEST_SET,"bottle",Proctor & Gamble,Downy ultra,Household,"z",3700035756,3dsom,FALSE,FALSE,FALSE,
18759,9402,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,"bottle",Clorox,clorox,Household,"bottle, plastic, white, clorox bleach, 60fl oz",4460002510,3dsom,FALSE,FALSE,FALSE,
18760,9403,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,TRAINING_AND_TEST_SET,TRAINING_SET,"bottle",Unilever,all,Household,"bottle, plastic, blue, laundry detergent, 50fl oz",1111129114,3dsom,FALSE,FALSE,FALSE,
18761,9404,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,"pitcher",Brita,OB36/OB03,Target,"pitcher, water filter, clear, plastic, 10cup",6025842556,3dsom,FALSE,FALSE,FALSE,
18762,9406,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,"bottle",cow,milk-1gal,Household,"bottle, plastic, milk, 1 gal.",62138,3dsom,FALSE,FALSE,FALSE,
18763,9407,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,"bottle",Odwalla,orange_juice,Household,"bottle, plastic, Odwalla orange juice, 2qt.",1405411002,3dsom,FALSE,FALSE,FALSE,
18764,9408,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,"bottle",The Sun Products Corp,All-small,Household,"bottle, plastic, blue, all laundry detergent, 20fl oz.",7261345070,3dsom,FALSE,FALSE,FALSE,
18765,9409,COMBINED_MODEL_SET,REDUCED_MODEL_SET,SIM_MODEL_SET,TRAINING_AND_TEST_SET,TRAINING_SET,"bottle",Nestle,coffee-mate,Household,"bottle, plastic, coffee creamer, 16fl oz",5000084805,3dsom,FALSE,TRUE,FALSE,
18766,9410,COMBINED_MODEL_SET,REDUCED_MODEL_SET,SIM_MODEL_SET,TEST_SET,TRAINING_AND_TEST_SET,"bottle",Unilever,suave-kids-3in1,Household,"bottle, plastic, green, shampoo body wash, 22.5fl oz",7940035188,3dsom,FALSE,TRUE,FALSE,
18767,9411,,"tub",Unilever,Country_Crock15,Household,"tub, plastic with lid, tan, margarine, 15oz",2740010307,3dsom,FALSE,TRUE,TRUE,
18768,9412,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,"carton",Organics,milk-carton,Household,"carton, cardboard/paper, milk, .5 gal",7989340060,3dsom,FALSE,FALSE,FALSE,
18769,9414,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,"toy",Megabrands,megabloks1x2_countour_yellow,Household,"toy, set of 80, plastic, interlocking block, yellow, 1x2 posts",6554108468,3dsom,FALSE,FALSE,FALSE,
18770,9415,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,"toy",Megabrands,megabloks1x2_short_yellow,Household,"toy, set of 80, plastic, interlocking block, yellow, 1x2 posts, short",6554108468,3dsom,FALSE,FALSE,FALSE,
18771,9416,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,"toy",Megabrands,megabloks1x2_tall_green,Household,"toy, set of 80, plastic, green, tall, 1x2 posts, interlocking",6554108468,3dsom,FALSE,FALSE,FALSE,
18772,9417,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,"toy",Megabrands,megabloks1x3_tall_yellow,Household,"toy, set of 80, yellow, plastic, 1x3 posts, interlocking, tall",6554108468,3dsom,FALSE,FALSE,FALSE,
18773,9418,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,"toy",Megabrands,megabloks1x4_short_blue,Household,"toy, set of 80, blue, plastic, 1x4 posts, short, interlocking",6554108468,3dsom,FALSE,FALSE,FALSE,
18774,9419,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,"toy",Megabrands,megabloks1x4_tall_red,Household,"toy, set of 80, red, tall, 1x4 posts, interlocking",6554108468,3dsom,FALSE,FALSE,FALSE,
18775,9420,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,"toy",Megabrands,megabloks2x2_tall_blue,Household,"toy, set of 80, blue, tall, 2x2 posts, interlocking",6554108468,3dsom,FALSE,FALSE,FALSE,
18776,9421,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,"toy",Megabrands,megabloks2x4_yellow,Household,"toy, set of 80, yellow, 2x4 posts, interlocking",6554108468,3dsom,FALSE,FALSE,FALSE,
18777,9422,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,"toy",Megabrands,megabloks_single_yellow,Household,"toy, set of 80, yellow, single post, interlocking",6554108468,3dsom,FALSE,FALSE,FALSE,
18778,9423,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,"toy",Megabrands,megabloks2x2_short_red,Household,"toy, plastic, set of 80, 2x2 posts, short, red",6554108468,3dsom,FALSE,FALSE,FALSE,
18779,9424,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,TEST_SET,TRAINING_AND_TEST_SET,"bottle,als_object",Odwalla,odwalla_bottle,Household,"bottle, plastic, odwalla, orange juice, 15.2fl oz",1405411005,3dsom,FALSE,FALSE,FALSE,
18780,9425,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,TRAINING_AND_TEST_SET,TRAINING_SET,"box",General Mills,Oatmeal_crisp,Household,"box, cardboard, cereal, 17oz",1600027538,3dsom,FALSE,FALSE,FALSE,
18781,9426,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,TEST_SET,TRAINING_AND_TEST_SET,"box",Post,shredded_wheat,Household,"box, cardboard, cereal, 15oz",4300018005,3dsom,FALSE,FALSE,FALSE,
18782,9427,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,"box",Kleenex,kleenex_box,Household,"box, cardboard, tissue, 11x11x13cm",3600026085,3dsom,FALSE,FALSE,FALSE,
18783,9428,COMBINED_MODEL_SET,REDUCED_MODEL_SET,SIM_MODEL_SET,TEST_SET,TRAINING_AND_TEST_SET,"can",Izze,izze_can,Household,"can, metal, juice, 8.4fl oz, orange",3609301105,3dsom,FALSE,TRUE,FALSE,
18784,9429,,"pitcher",Target,242.07.6610,Target,"pitcher, plastic, palm tree pattern, 2qt.",7677000082,3dsom,FALSE,FALSE,TRUE,
18785,9430,,"pitcher",Target,242.07.6602,Target,"pitcher, tall, palm tree pattern, with lid",7677000079,3dsom,FALSE,FALSE,TRUE,
18786,9431,,"tumbler",Target,242.11.4180,Target,"Tumbler, set of 8, assorted colors, 20oz",11160882,3dsom,TRUE,TRUE,TRUE,
18787,9432,,"mug",Target,242.07.2123,Target,"Mug, beer, polycarbonate, set of 6, clear",10760334,3dsom,TRUE,FALSE,TRUE,
18788,9433,,"tumbler",Target,242.09.6219-glass,Target,"tumbler, polycarbonate, clear, 20oz, Geo 7-pc drinkware set",8978637553,3dsom,TRUE,TRUE,TRUE,
